miRNA	cellontology	sign	pvalue
hsa-miR-301b-3p	endothelial cell	enriched	1.73065e-09
hsa-miR-301b-3p	meso-epithelial cell	enriched	3.3479e-08
hsa-miR-301b-3p	fat cell	depleted	1.13565e-08
hsa-miR-301b-3p	lymphocyte	depleted	3.59741e-06
hsa-miR-301b-3p	alpha-beta T cell	depleted	6.40599e-06
hsa-miR-302a-5p	pluripotent stem cell	enriched	5.11506e-36
hsa-miR-302a-5p	embryonic stem cell	enriched	3.89295e-09
hsa-miR-302a-5p	iPS	enriched	4.76214e-07
hsa-miR-302a-5p	mesodermal cell	depleted	1.95928e-18
hsa-miR-302a-5p	muscle cell	depleted	9.20795e-15
hsa-miR-302a-5p	smooth muscle cell	depleted	3.26266e-13
hsa-miR-302b-3p	pluripotent stem cell	enriched	2.54887e-30
hsa-miR-302b-3p	embryonic stem cell	enriched	7.37021e-08
hsa-miR-302b-3p	iPS	enriched	5.17166e-07
hsa-miR-302b-3p	muscle cell	depleted	2.37972e-21
hsa-miR-302b-3p	smooth muscle cell	depleted	6.41638e-20
hsa-miR-302b-3p	vascular associated smooth muscle cell	depleted	4.36129e-18
hsa-miR-302c-3p	pluripotent stem cell	enriched	5.28779e-32
hsa-miR-302c-3p	embryonic stem cell	enriched	1.93541e-08
hsa-miR-302c-3p	iPS	enriched	9.15211e-07
hsa-miR-302c-3p	muscle cell	depleted	2.99037e-14
hsa-miR-302c-3p	mesodermal cell	depleted	6.08749e-14
hsa-miR-302c-3p	smooth muscle cell	depleted	3.43427e-12
hsa-miR-302d-3p	pluripotent stem cell	enriched	1.90337e-38
hsa-miR-302d-3p	embryonic stem cell	enriched	1.6062e-09
hsa-miR-302d-3p	iPS	enriched	1.45342e-07
hsa-miR-302d-3p	mesodermal cell	depleted	1.3911e-18
hsa-miR-302d-3p	muscle cell	depleted	4.10017e-17
hsa-miR-302d-3p	smooth muscle cell	depleted	5.37189e-17
hsa-miR-302e	pluripotent stem cell	enriched	4.73881e-12
hsa-miR-302e	embryonic stem cell	enriched	2.82874e-07
hsa-miR-302e	iPS	depleted	4.50563e-05
hsa-miR-320a	extraembryonic cell	enriched	1.67759e-05
hsa-miR-320a	endo-epithelial cell	enriched	0.000204522
hsa-miR-320a	mast cell	depleted	3.31684e-08
hsa-miR-320a	hematopoietic cell	depleted	3.70241e-06
hsa-miR-320a	leukocyte	depleted	8.41311e-06
hsa-miR-320b	extraembryonic cell	enriched	2.17069e-13
hsa-miR-320b	alpha-beta T cell	enriched	6.42868e-08
hsa-miR-320b	lymphocyte	enriched	1.04071e-07
hsa-miR-320b	muscle cell	depleted	4.04265e-07
hsa-miR-320b	smooth muscle cell	depleted	9.44666e-06
hsa-miR-320b	vascular associated smooth muscle cell	depleted	0.000313993
hsa-miR-320c	extraembryonic cell	enriched	2.98563e-09
hsa-miR-320c	leukocyte	enriched	8.32974e-06
hsa-miR-320c	placental epithelial cell	enriched	2.94214e-05
hsa-miR-320c	fibroblast	depleted	0.000149253
hsa-miR-320d	extraembryonic cell	enriched	1.24432e-19
hsa-miR-320d	placental epithelial cell	enriched	3.07703e-10
hsa-miR-320d	leukocyte	enriched	7.72147e-08
hsa-miR-320d	muscle cell	depleted	3.44723e-07
hsa-miR-320d	squamous epithelial cell	depleted	9.24707e-06
hsa-miR-320d	smooth muscle cell	depleted	1.3755e-05
hsa-miR-320e	placental epithelial cell	enriched	2.037e-07
hsa-miR-320e	extraembryonic cell	depleted	8.68326e-07
hsa-miR-323a-3p	muscle cell	enriched	5.32574e-12
hsa-miR-323a-3p	smooth muscle cell	enriched	4.25168e-08
hsa-miR-323a-3p	extraembryonic cell	enriched	2.5567e-07
hsa-miR-323a-3p	leukocyte	depleted	7.35082e-35
hsa-miR-323a-3p	hematopoietic cell	depleted	3.55073e-31
hsa-miR-323a-3p	lymphocyte	depleted	7.28132e-18
hsa-miR-323b-3p	muscle cell	enriched	1.61638e-07
hsa-miR-323b-3p	mesodermal cell	enriched	2.27321e-07
hsa-miR-323b-3p	smooth muscle cell	enriched	2.51434e-06
hsa-miR-323b-3p	leukocyte	depleted	5.87504e-30
hsa-miR-323b-3p	hematopoietic cell	depleted	1.22761e-26
hsa-miR-323b-3p	lymphocyte	depleted	1.08377e-15
hsa-miR-324-5p	endothelial cell	enriched	6.71748e-08
hsa-miR-324-5p	epithelial cell	enriched	8.64486e-08
hsa-miR-324-5p	meso-epithelial cell	enriched	6.80806e-07
hsa-miR-324-5p	secretory cell	depleted	6.92401e-05
hsa-miR-324-5p	lymphocyte	depleted	8.0935e-05
hsa-miR-326	monocyte	enriched	8.47757e-23
hsa-miR-326	myeloid leukocyte	enriched	9.15349e-21
hsa-miR-326	phagocyte	enriched	2.87419e-20
hsa-miR-326	muscle cell	depleted	1.3415e-10
hsa-miR-326	smooth muscle cell	depleted	2.34127e-07
hsa-miR-326	vascular associated smooth muscle cell	depleted	3.61915e-07
hsa-miR-328-3p	Fibroblast - Mammary	enriched	2.36709e-19
hsa-miR-328-3p	leukocyte	enriched	1.93987e-09
hsa-miR-328-3p	myeloid leukocyte	enriched	1.34654e-08
hsa-miR-328-3p	epithelial cell	depleted	6.49167e-15
hsa-miR-328-3p	endodermal cell	depleted	1.83994e-09
hsa-miR-328-3p	endo-epithelial cell	depleted	1.2082e-07
hsa-miR-329-3p	muscle cell	enriched	1.18295e-13
hsa-miR-329-3p	mesodermal cell	enriched	2.78466e-12
hsa-miR-329-3p	fibroblast	enriched	2.89003e-11
hsa-miR-329-3p	leukocyte	depleted	3.70554e-37
hsa-miR-329-3p	hematopoietic cell	depleted	9.14579e-34
hsa-miR-329-3p	lymphocyte	depleted	1.09983e-20
hsa-miR-330-5p	epithelial cell	enriched	3.02241e-12
hsa-miR-330-5p	endothelial cell	enriched	4.1459e-09
hsa-miR-330-5p	blood vessel endothelial cell	enriched	1.52198e-07
hsa-miR-330-5p	chondrocyte	depleted	5.58888e-06
hsa-miR-330-5p	fat cell	depleted	9.93824e-06
hsa-miR-330-5p	B cell	depleted	0.000316425
hsa-miR-331-3p	epithelial cell	enriched	1.1771e-09
hsa-miR-331-3p	blood vessel endothelial cell	enriched	2.82716e-06
hsa-miR-331-3p	meso-epithelial cell	enriched	3.42723e-06
hsa-miR-331-3p	B cell	depleted	6.13489e-06
hsa-miR-331-3p	secretory cell	depleted	6.8041e-06
hsa-miR-331-3p	lymphocyte	depleted	4.87729e-05
hsa-miR-335-3p	ciliated epithelial cell	enriched	3.05567e-08
hsa-miR-335-3p	neurectodermal cell	enriched	1.63947e-06
hsa-miR-335-3p	neurecto-epithelial cell	enriched	6.02579e-06
hsa-miR-335-3p	leukocyte	depleted	6.61916e-16
hsa-miR-335-3p	myeloid leukocyte	depleted	4.43904e-13
hsa-miR-335-3p	monocyte	depleted	6.29096e-09
hsa-miR-337-3p	muscle cell	enriched	3.28388e-14
hsa-miR-337-3p	mesodermal cell	enriched	8.9252e-13
hsa-miR-337-3p	fibroblast	enriched	2.53345e-12
hsa-miR-337-3p	leukocyte	depleted	6.11955e-36
hsa-miR-337-3p	hematopoietic cell	depleted	6.12378e-33
hsa-miR-337-3p	lymphocyte	depleted	3.69816e-20
hsa-miR-338-3p	leukocyte	enriched	1.70438e-25
hsa-miR-338-3p	hematopoietic cell	enriched	3.48911e-23
hsa-miR-338-3p	myeloid leukocyte	enriched	2.00076e-21
hsa-miR-338-3p	endothelial cell of vascular tree	depleted	7.90278e-07
hsa-miR-338-3p	stromal cell	depleted	9.17705e-07
hsa-miR-338-3p	fat cell	depleted	1.18041e-06
hsa-miR-339-3p	leukocyte	enriched	9.00642e-33
hsa-miR-339-3p	hematopoietic cell	enriched	1.20318e-31
hsa-miR-339-3p	lymphocyte	enriched	1.08479e-19
hsa-miR-339-3p	squamous epithelial cell	depleted	3.2086e-09
hsa-miR-339-3p	epithelial cell	depleted	2.62589e-08
hsa-miR-339-3p	lining cell	depleted	1.52599e-07
hsa-miR-340-5p	myeloid leukocyte	enriched	1.99504e-39
hsa-miR-340-5p	leukocyte	enriched	1.02394e-35
hsa-miR-340-5p	hematopoietic cell	enriched	1.26815e-34
hsa-miR-340-5p	epithelial cell	depleted	2.86704e-19
hsa-miR-340-5p	fibroblast	depleted	7.94156e-19
hsa-miR-340-5p	muscle cell	depleted	1.87286e-13
hsa-miR-342-3p	leukocyte	enriched	4.11679e-128
hsa-miR-342-3p	hematopoietic cell	enriched	1.68652e-125
hsa-miR-342-3p	lymphocyte	enriched	1.80684e-38
hsa-miR-342-3p	epithelial cell	depleted	1.59818e-44
hsa-miR-342-3p	fibroblast	depleted	7.03174e-21
hsa-miR-342-3p	lining cell	depleted	6.16903e-19
hsa-miR-345-5p	endothelial cell	enriched	9.30276e-16
hsa-miR-345-5p	endothelial cell of vascular tree	enriched	9.90902e-15
hsa-miR-345-5p	blood vessel endothelial cell	enriched	8.08801e-13
hsa-miR-345-5p	lymphocyte	depleted	3.69469e-09
hsa-miR-345-5p	T cell	depleted	4.23874e-06
hsa-miR-345-5p	B cell	depleted	9.28024e-06
hsa-miR-346	Fibroblast - Mammary	enriched	7.04573e-06
hsa-miR-361-3p	leukocyte	enriched	2.19572e-62
hsa-miR-361-3p	hematopoietic cell	enriched	1.09881e-60
hsa-miR-361-3p	lymphocyte	enriched	4.29887e-46
hsa-miR-361-3p	mesodermal cell	depleted	1.30281e-18
hsa-miR-361-3p	epithelial cell	depleted	5.82298e-18
hsa-miR-361-3p	squamous epithelial cell	depleted	2.24304e-10
hsa-miR-362-5p	pluripotent stem cell	enriched	8.81302e-13
hsa-miR-362-5p	monocyte	enriched	8.85329e-11
hsa-miR-362-5p	phagocyte	enriched	5.67329e-08
hsa-miR-362-5p	fibroblast	depleted	1.16698e-07
hsa-miR-362-5p	preadipocyte	depleted	1.80826e-05
hsa-miR-362-5p	mesenchymal stem cell	depleted	4.93014e-05
hsa-miR-363-3p	leukocyte	enriched	1.11127e-17
hsa-miR-363-3p	hematopoietic cell	enriched	8.26682e-16
hsa-miR-363-3p	lymphocyte	enriched	1.51887e-11
hsa-miR-363-3p	squamous epithelial cell	depleted	6.65835e-09
hsa-miR-363-3p	cell of skeletal muscle	depleted	1.5416e-08
hsa-miR-363-3p	fibroblast	depleted	2.93563e-07
hsa-miR-365a-3p	extraembryonic cell	enriched	2.64389e-10
hsa-miR-365a-3p	muscle cell	enriched	9.95892e-09
hsa-miR-365a-3p	epithelial cell of amnion	enriched	1.53852e-08
hsa-miR-365a-3p	lymphocyte	depleted	9.74964e-29
hsa-miR-365a-3p	leukocyte	depleted	1.58318e-27
hsa-miR-365a-3p	hematopoietic cell	depleted	7.75171e-27
hsa-miR-365b-3p	extraembryonic cell	enriched	2.20466e-10
hsa-miR-365b-3p	muscle cell	enriched	1.26918e-08
hsa-miR-365b-3p	epithelial cell of amnion	enriched	1.30173e-08
hsa-miR-365b-3p	lymphocyte	depleted	8.64498e-29
hsa-miR-365b-3p	leukocyte	depleted	2.43028e-27
hsa-miR-365b-3p	hematopoietic cell	depleted	1.18156e-26
hsa-miR-367-3p	pluripotent stem cell	enriched	2.92384e-18
hsa-miR-367-3p	embryonic stem cell	enriched	2.04739e-11
hsa-miR-367-3p	iPS	enriched	3.56525e-06
hsa-miR-367-3p	vascular associated smooth muscle cell	depleted	8.16011e-07
hsa-miR-367-3p	smooth muscle cell	depleted	2.72741e-06
hsa-miR-367-3p	muscle cell	depleted	1.00628e-05
hsa-miR-369-3p	mesodermal cell	enriched	1.45974e-08
hsa-miR-369-3p	muscle cell	enriched	2.641e-08
hsa-miR-369-3p	epithelial cell of amnion	enriched	2.2134e-06
hsa-miR-369-3p	leukocyte	depleted	8.12231e-27
hsa-miR-369-3p	hematopoietic cell	depleted	5.8562e-24
hsa-miR-369-3p	lymphocyte	depleted	4.133e-18
hsa-miR-370-3p	muscle cell	enriched	6.83073e-14
hsa-miR-370-3p	fibroblast	enriched	1.0653e-12
hsa-miR-370-3p	mesodermal cell	enriched	3.61182e-10
hsa-miR-370-3p	leukocyte	depleted	7.83955e-36
hsa-miR-370-3p	hematopoietic cell	depleted	2.20091e-31
hsa-miR-370-3p	lymphocyte	depleted	1.25117e-19
hsa-miR-371a-5p	pluripotent stem cell	enriched	2.2151e-10
hsa-miR-371a-5p	embryonic stem cell	enriched	1.66415e-06
hsa-miR-371a-5p	iPS	enriched	6.85071e-05
hsa-miR-371a-5p	meso-epithelial cell	depleted	2.32296e-07
hsa-miR-371a-5p	lining cell	depleted	2.65665e-07
hsa-miR-371a-5p	endothelial cell of vascular tree	depleted	5.1421e-07
hsa-miR-371b-5p	leukocyte	enriched	3.51763e-27
hsa-miR-371b-5p	hematopoietic cell	enriched	4.35947e-26
hsa-miR-371b-5p	myeloid leukocyte	enriched	1.26673e-22
hsa-miR-371b-5p	epithelial cell	depleted	1.70122e-06
hsa-miR-371b-5p	lymphocyte	depleted	6.73476e-06
hsa-miR-371b-5p	pluripotent stem cell	depleted	1.27097e-05
hsa-miR-372-3p	pluripotent stem cell	enriched	1.17419e-09
hsa-miR-372-3p	embryonic stem cell	enriched	8.30389e-06
hsa-miR-372-3p	iPS	enriched	3.98747e-05
hsa-miR-372-3p	extraembryonic cell	depleted	2.39029e-07
hsa-miR-372-3p	lining cell	depleted	1.13806e-05
hsa-miR-372-3p	Alveolar Epithelial Cells	depleted	1.26599e-05
hsa-miR-373-3p	pluripotent stem cell	enriched	2.26041e-09
hsa-miR-373-3p	embryonic stem cell	enriched	5.92875e-06
hsa-miR-373-3p	iPS	enriched	0.000305273
hsa-miR-373-3p	monocyte	depleted	3.12784e-08
hsa-miR-373-3p	phagocyte	depleted	2.42498e-07
hsa-miR-373-3p	meso-epithelial cell	depleted	2.95035e-07
hsa-miR-374a-5p	leukocyte	enriched	5.86382e-46
hsa-miR-374a-5p	hematopoietic cell	enriched	4.61188e-44
hsa-miR-374a-5p	myeloid leukocyte	enriched	1.71493e-27
hsa-miR-374a-5p	muscle cell	depleted	9.33157e-11
hsa-miR-374a-5p	smooth muscle cell	depleted	3.5072e-08
hsa-miR-374a-5p	epithelial cell	depleted	1.82683e-07
hsa-miR-374b-5p	leukocyte	enriched	1.11292e-37
hsa-miR-374b-5p	hematopoietic cell	enriched	5.10494e-36
hsa-miR-374b-5p	myeloid leukocyte	enriched	1.37206e-32
hsa-miR-374b-5p	epithelial cell	depleted	5.36741e-11
hsa-miR-374b-5p	fibroblast	depleted	2.73054e-09
hsa-miR-374b-5p	lining cell	depleted	1.62007e-05
hsa-miR-375	epithelial cell	enriched	1.31519e-10
hsa-miR-375	endodermal cell	enriched	5.40119e-10
hsa-miR-375	endo-epithelial cell	enriched	7.40328e-10
hsa-miR-375	blood vessel endothelial cell	depleted	8.0388e-07
hsa-miR-375	endothelial cell	depleted	8.37608e-07
hsa-miR-375	hematopoietic cell	depleted	1.11076e-06
hsa-miR-376a-5p	extraembryonic cell	enriched	1.19961e-11
hsa-miR-376a-5p	muscle cell	enriched	7.63988e-11
hsa-miR-376a-5p	mesodermal cell	enriched	1.18262e-09
hsa-miR-376a-5p	leukocyte	depleted	5.33547e-23
hsa-miR-376a-5p	hematopoietic cell	depleted	1.98496e-20
hsa-miR-376a-5p	lymphocyte	depleted	1.44709e-13
hsa-miR-376a-3p	fibroblast	enriched	3.87547e-14
hsa-miR-376a-3p	muscle cell	enriched	3.80302e-10
hsa-miR-376a-3p	mesodermal cell	enriched	4.92951e-10
hsa-miR-376a-3p	leukocyte	depleted	1.77996e-28
hsa-miR-376a-3p	hematopoietic cell	depleted	6.21822e-27
hsa-miR-376a-3p	lymphocyte	depleted	2.99673e-16
hsa-miR-376b-3p	muscle cell	enriched	3.76278e-10
hsa-miR-376b-3p	mesodermal cell	enriched	6.43358e-10
hsa-miR-376b-3p	fibroblast	enriched	1.74571e-09
hsa-miR-376b-3p	leukocyte	depleted	9.42047e-33
hsa-miR-376b-3p	hematopoietic cell	depleted	1.21675e-29
hsa-miR-376b-3p	lymphocyte	depleted	3.002e-17
hsa-miR-376c-3p	muscle cell	enriched	6.77482e-12
hsa-miR-376c-3p	mesodermal cell	enriched	5.55802e-10
hsa-miR-376c-3p	extraembryonic cell	enriched	5.97228e-08
hsa-miR-376c-3p	leukocyte	depleted	2.02281e-27
hsa-miR-376c-3p	hematopoietic cell	depleted	9.77718e-26
hsa-miR-376c-3p	lymphocyte	depleted	2.975e-19
hsa-miR-377-5p	muscle cell	enriched	2.7769e-14
hsa-miR-377-5p	fibroblast	enriched	5.99132e-14
hsa-miR-377-5p	mesodermal cell	enriched	4.93017e-13
hsa-miR-377-5p	leukocyte	depleted	2.01569e-36
hsa-miR-377-5p	hematopoietic cell	depleted	2.82123e-33
hsa-miR-377-5p	lymphocyte	depleted	5.34147e-21
hsa-miR-378a-3p	monocyte	enriched	1.24244e-26
hsa-miR-378a-3p	phagocyte	enriched	1.07096e-22
hsa-miR-378a-3p	myeloid leukocyte	enriched	2.27345e-21
hsa-miR-378a-3p	endothelial cell	depleted	1.71255e-11
hsa-miR-378a-3p	GAG secreting cell	depleted	1.13194e-10
hsa-miR-378a-3p	endothelial cell of vascular tree	depleted	6.02157e-09
hsa-miR-378c	leukocyte	enriched	2.80367e-28
hsa-miR-378c	hematopoietic cell	enriched	2.2821e-26
hsa-miR-378c	lymphocyte	enriched	2.16846e-14
hsa-miR-378c	mesodermal cell	depleted	4.3502e-05
hsa-miR-378c	muscle cell	depleted	6.56778e-05
hsa-miR-378c	endo-epithelial cell	depleted	8.53652e-05
hsa-miR-378d	leukocyte	enriched	1.062e-14
hsa-miR-378d	hematopoietic cell	enriched	6.16208e-13
hsa-miR-378d	lymphocyte	enriched	1.69583e-07
hsa-miR-378d	vascular associated smooth muscle cell	depleted	6.5201e-08
hsa-miR-378e	embryonic stem cell	enriched	0.000194359
hsa-miR-378f	monocyte	enriched	5.11418e-05
hsa-miR-378f	phagocyte	enriched	0.000107623
hsa-miR-378g	monocyte	enriched	0.000265715
hsa-miR-378g	leukocyte	depleted	1.22769e-06
hsa-miR-378g	hematopoietic cell	depleted	2.70521e-06
hsa-miR-378i	myeloid leukocyte	enriched	1.07487e-06
hsa-miR-378i	iPS	enriched	1.25516e-06
hsa-miR-378i	pluripotent stem cell	enriched	6.07796e-06
hsa-miR-378i	leukocyte	depleted	1.1438e-09
hsa-miR-378i	hematopoietic cell	depleted	3.4995e-09
hsa-miR-378i	B cell	depleted	0.000217974
hsa-miR-379-5p	mesodermal cell	enriched	4.34147e-10
hsa-miR-379-5p	fibroblast	enriched	4.76581e-10
hsa-miR-379-5p	muscle cell	enriched	3.62883e-07
hsa-miR-379-5p	leukocyte	depleted	1.61615e-31
hsa-miR-379-5p	hematopoietic cell	depleted	1.87863e-29
hsa-miR-379-5p	lymphocyte	depleted	1.18899e-16
hsa-miR-380-3p	muscle cell	enriched	1.74677e-08
hsa-miR-380-3p	mesodermal cell	enriched	6.03546e-07
hsa-miR-380-3p	fibroblast	enriched	6.94613e-06
hsa-miR-380-3p	leukocyte	depleted	1.41294e-27
hsa-miR-380-3p	hematopoietic cell	depleted	7.14862e-22
hsa-miR-380-3p	lymphocyte	depleted	2.33228e-13
hsa-miR-381-3p	muscle cell	enriched	3.80044e-07
hsa-miR-381-3p	mesodermal cell	enriched	5.56013e-07
hsa-miR-381-3p	fibroblast	enriched	2.65599e-05
hsa-miR-381-3p	leukocyte	depleted	2.58709e-26
hsa-miR-381-3p	hematopoietic cell	depleted	7.5075e-23
hsa-miR-381-3p	lymphocyte	depleted	1.08623e-16
hsa-miR-382-5p	fibroblast	enriched	2.88512e-14
hsa-miR-382-5p	muscle cell	enriched	5.09075e-12
hsa-miR-382-5p	mesodermal cell	enriched	4.07645e-09
hsa-miR-382-5p	leukocyte	depleted	2.97053e-41
hsa-miR-382-5p	hematopoietic cell	depleted	7.78392e-37
hsa-miR-382-5p	lymphocyte	depleted	3.13121e-20
hsa-miR-409-3p	fibroblast	enriched	2.79806e-15
hsa-miR-409-3p	muscle cell	enriched	6.03891e-12
hsa-miR-409-3p	smooth muscle cell	enriched	9.80088e-09
hsa-miR-409-3p	leukocyte	depleted	8.89634e-41
hsa-miR-409-3p	hematopoietic cell	depleted	5.90191e-36
hsa-miR-409-3p	lymphocyte	depleted	3.45473e-21
hsa-miR-410-3p	extraembryonic cell	enriched	1.91151e-08
hsa-miR-410-3p	muscle cell	enriched	1.9458e-08
hsa-miR-410-3p	epithelial cell of amnion	enriched	1.13816e-07
hsa-miR-410-3p	leukocyte	depleted	4.43307e-28
hsa-miR-410-3p	hematopoietic cell	depleted	5.16856e-21
hsa-miR-410-3p	lymphocyte	depleted	6.01041e-17
hsa-miR-411-5p	muscle cell	enriched	3.64386e-11
hsa-miR-411-5p	fibroblast	enriched	2.51531e-09
hsa-miR-411-5p	mesodermal cell	enriched	7.23036e-08
hsa-miR-411-5p	leukocyte	depleted	1.25754e-34
hsa-miR-411-5p	hematopoietic cell	depleted	1.00692e-31
hsa-miR-411-5p	lymphocyte	depleted	2.91571e-19
hsa-miR-412-5p	fibroblast	enriched	1.59733e-06
hsa-miR-412-5p	cardiocyte	enriched	0.000117009
hsa-miR-412-5p	mesodermal cell	enriched	0.000241195
hsa-miR-412-5p	leukocyte	depleted	8.41917e-20
hsa-miR-412-5p	hematopoietic cell	depleted	2.65112e-17
hsa-miR-412-5p	lymphocyte	depleted	1.19574e-10
hsa-miR-421	pluripotent stem cell	enriched	8.39877e-17
hsa-miR-421	embryonic stem cell	enriched	2.79907e-13
hsa-miR-421	endothelial cell	enriched	1.47674e-08
hsa-miR-421	chondrocyte	depleted	2.61058e-09
hsa-miR-421	lymphocyte	depleted	2.1848e-06
hsa-miR-421	fibroblast	depleted	9.49072e-06
hsa-miR-422a	pluripotent stem cell	enriched	5.35294e-10
hsa-miR-422a	embryonic stem cell	enriched	5.17974e-09
hsa-miR-422a	stem cell	enriched	7.62354e-07
hsa-miR-423-3p	annulus pulposus cell	enriched	5.58664e-08
hsa-miR-423-3p	endothelial cell	enriched	9.03988e-07
hsa-miR-423-3p	blood vessel endothelial cell	enriched	2.22638e-06
hsa-miR-423-3p	Hepatocyte	depleted	3.36084e-06
hsa-miR-423-3p	omentum preadipocyte	depleted	3.75219e-06
hsa-miR-423-3p	preadipocyte	depleted	3.2016e-05
hsa-miR-424-5p	preadipocyte	enriched	2.66573e-05
hsa-miR-424-5p	Keratinocyte - epidermal	enriched	0.000173307
hsa-miR-424-5p	cell of skeletal muscle	enriched	0.000190009
hsa-miR-424-5p	lymphocyte	depleted	3.1846e-12
hsa-miR-424-5p	mast cell	depleted	1.44244e-07
hsa-miR-424-5p	meso-epithelial cell	depleted	1.90737e-07
hsa-miR-425-5p	leukocyte	enriched	4.83553e-35
hsa-miR-425-5p	hematopoietic cell	enriched	2.05034e-33
hsa-miR-425-5p	myeloid leukocyte	enriched	8.63708e-29
hsa-miR-425-5p	endothelial cell	depleted	2.88066e-10
hsa-miR-425-5p	muscle cell	depleted	1.0773e-08
hsa-miR-425-5p	endothelial cell of vascular tree	depleted	3.29983e-08
hsa-miR-429	endo-epithelial cell	enriched	4.03336e-23
hsa-miR-429	epithelial cell	enriched	1.44374e-21
hsa-miR-429	respiratory epithelial cell	enriched	6.2237e-14
hsa-miR-429	hematopoietic cell	depleted	5.69602e-24
hsa-miR-429	leukocyte	depleted	5.13954e-23
hsa-miR-429	myeloid leukocyte	depleted	2.3593e-12
hsa-miR-431-5p	extraembryonic cell	enriched	2.63131e-21
hsa-miR-431-5p	placental epithelial cell	enriched	4.29121e-11
hsa-miR-431-5p	epithelial cell of amnion	enriched	3.63124e-09
hsa-miR-431-5p	leukocyte	depleted	4.42063e-25
hsa-miR-431-5p	hematopoietic cell	depleted	4.05382e-19
hsa-miR-431-5p	lymphocyte	depleted	8.58757e-13
hsa-miR-432-5p	muscle cell	enriched	3.31332e-13
hsa-miR-432-5p	mesodermal cell	enriched	1.095e-09
hsa-miR-432-5p	smooth muscle cell	enriched	1.63577e-09
hsa-miR-432-5p	leukocyte	depleted	2.10692e-36
hsa-miR-432-5p	hematopoietic cell	depleted	7.16275e-33
hsa-miR-432-5p	lymphocyte	depleted	1.77429e-20
hsa-miR-433-3p	extraembryonic cell	enriched	2.16518e-13
hsa-miR-433-3p	placental epithelial cell	enriched	2.9039e-09
hsa-miR-433-3p	muscle cell	enriched	3.89617e-09
hsa-miR-433-3p	leukocyte	depleted	9.01929e-26
hsa-miR-433-3p	hematopoietic cell	depleted	8.99482e-21
hsa-miR-433-3p	lymphocyte	depleted	1.48606e-12
hsa-miR-448	pluripotent stem cell	enriched	3.96571e-16
hsa-miR-448	embryonic stem cell	enriched	7.89756e-08
hsa-miR-448	iPS	enriched	3.2022e-06
hsa-miR-449a	Alveolar Epithelial Cells	enriched	1.02267e-09
hsa-miR-449a	respiratory epithelial cell	enriched	3.39796e-09
hsa-miR-449a	epithelial cell of lung	enriched	1.82185e-08
hsa-miR-449a	squamous epithelial cell	depleted	1.08613e-05
hsa-miR-449a	fibroblast	depleted	5.97553e-05
hsa-miR-449a	endothelial cell of vascular tree	depleted	0.000275515
hsa-miR-449b-5p	smooth muscle cell of the brachiocephalic vasculature	enriched	4.18789e-08
hsa-miR-449b-5p	vascular associated smooth muscle cell	enriched	3.25271e-05
hsa-miR-449b-5p	Alveolar Epithelial Cells	enriched	9.71388e-05
hsa-miR-449b-5p	fibroblast	depleted	2.0481e-08
hsa-miR-449b-5p	squamous epithelial cell	depleted	0.000115272
hsa-miR-449c-5p	Alveolar Epithelial Cells	enriched	1.55313e-13
hsa-miR-449c-5p	epithelial cell of lung	enriched	2.43228e-12
hsa-miR-449c-5p	glomerular cell	enriched	4.22902e-12
hsa-miR-449c-5p	smooth muscle cell	depleted	4.32777e-05
hsa-miR-450a-5p	mesodermal cell	enriched	5.85127e-09
hsa-miR-450a-5p	lining cell	enriched	1.18294e-08
hsa-miR-450a-5p	endothelial cell	enriched	3.83938e-08
hsa-miR-450a-5p	lymphocyte	depleted	7.35014e-12
hsa-miR-450a-5p	leukocyte	depleted	9.08002e-07
hsa-miR-450a-5p	hematopoietic cell	depleted	3.27168e-06
hsa-miR-450b-5p	lining cell	enriched	6.39615e-09
hsa-miR-450b-5p	mesodermal cell	enriched	3.49974e-08
hsa-miR-450b-5p	endothelial cell	enriched	1.3187e-07
hsa-miR-450b-5p	lymphocyte	depleted	7.12207e-15
hsa-miR-450b-5p	leukocyte	depleted	5.26498e-11
hsa-miR-450b-5p	hematopoietic cell	depleted	2.46102e-10
hsa-miR-451a	leukocyte	enriched	1.35888e-14
hsa-miR-451a	neutrophil	enriched	4.22741e-14
hsa-miR-451a	hematopoietic cell	enriched	1.68507e-13
hsa-miR-451a	epithelial cell	depleted	6.35812e-16
hsa-miR-451a	lining cell	depleted	2.03501e-14
hsa-miR-451a	endothelial cell	depleted	1.34561e-09
hsa-miR-452-5p	muscle cell	enriched	2.18965e-11
hsa-miR-452-5p	lining cell	enriched	1.31956e-10
hsa-miR-452-5p	squamous epithelial cell	enriched	1.06589e-08
hsa-miR-452-5p	leukocyte	depleted	8.01837e-50
hsa-miR-452-5p	hematopoietic cell	depleted	1.09441e-43
hsa-miR-452-5p	lymphocyte	depleted	2.03277e-21
hsa-miR-454-3p	smooth muscle cell of the brachiocephalic vasculature	enriched	4.02409e-23
hsa-miR-454-3p	vascular associated smooth muscle cell	enriched	1.31662e-15
hsa-miR-454-3p	smooth muscle cell	enriched	2.13607e-12
hsa-miR-454-3p	fat cell	depleted	8.76157e-09
hsa-miR-454-3p	fibroblast	depleted	2.3009e-05
hsa-miR-454-3p	chondrocyte	depleted	0.000126091
hsa-miR-455-5p	epithelial cell	enriched	2.58286e-16
hsa-miR-455-5p	endothelial cell	enriched	1.51764e-11
