name	sample	description
11224	FF:11224-116B9	CD14+ Monocytes, donor1
11225	FF:11225-116C1	CD4+ T Cells, donor1
11226	FF:11226-116C2	CD8+ T Cells, donor1
11227	FF:11227-116C3	Dendritic Cells - monocyte immature derived, donor1
11228	FF:11228-116C4	Dendritic Cells - plasmacytoid, donor1
11229	FF:11229-116C5	CD14+ monocyte derived endothelial progenitor cells, donor1
11230	FF:11230-116C6	Natural Killer Cells, donor1
11231	FF:11231-116C7	Peripheral Blood Mononuclear Cells, donor1
11232	FF:11232-116C8	Macrophage - monocyte derived, donor1
11233	FF:11233-116C9	Neutrophils, donor1
11234	FF:11234-116D1	Smooth Muscle Cells - Brain Vascular, donor1
11235	FF:11235-116D2	Astrocyte - cerebral cortex, donor1
11236	FF:11236-116D3	Endothelial Cells - Lymphatic, donor1
11237	FF:11237-116D4	Fibroblast - Gingival, donor1
11238	FF:11238-116D5	Fibroblast - Periodontal Ligament, donor1
11239	FF:11239-116D6	Smooth Muscle Cells - Colonic, donor1
11240	FF:11240-116D7	Skeletal Muscle Satellite Cells, donor1
11241	FF:11241-116D8	Myoblast, donor1
11242	FF:11242-116D9	Ciliary Epithelial Cells, donor1
11243	FF:11243-116E1	Endothelial Cells - Umbilical vein, donor1
11245	FF:11245-116E3	Fibroblast - Aortic Adventitial, donor1
11246	FF:11246-116E4	Intestinal epithelial cells (polarized), donor1
11247	FF:11247-116E5	Mesothelial Cells, donor1
11248	FF:11248-116E6	Anulus Pulposus Cell, donor1
11249	FF:11249-116E7	Pancreatic stromal cells, donor1
11250	FF:11250-116E8	Fibroblast - Pulmonary Artery, donor1
11251	FF:11251-116E9	Keratinocyte - oral, donor1
11252	FF:11252-116F1	Nucleus Pulposus Cell, donor1
11253	FF:11253-116F2	Prostate Epithelial Cells (polarized), donor1
11254	FF:11254-116F3	Prostate Stromal Cells, donor1
11255	FF:11255-116F4	Sertoli Cells, donor1
11256	FF:11256-116F5	Small Airway Epithelial Cells, donor1
11257	FF:11257-116F6	Smooth Muscle Cells - Prostate, donor1
11258	FF:11258-116F7	Smooth Muscle Cells - Uterine, donor1
11259	FF:11259-116F8	Adipocyte - subcutaneous, donor1
11261	FF:11261-116G1	Chondrocyte - de diff, donor1
11263	FF:11263-116G3	Endothelial Cells - Aortic, donor1
11264	FF:11264-116G4	Endothelial Cells - Artery, donor1
11265	FF:11265-116G5	Endothelial Cells - Microvascular, donor1
11266	FF:11266-116G6	Endothelial Cells - Thoracic, donor1
11267	FF:11267-116G7	Endothelial Cells - Vein, donor1
11268	FF:11268-116G8	Fibroblast - Cardiac, donor1
11269	FF:11269-116G9	Fibroblast - Dermal, donor1
11270	FF:11270-116H1	Fibroblast - Lung, donor1
11271	FF:11271-116H2	Hair Follicle Dermal Papilla Cells, donor1
11272	FF:11272-116H3	Keratinocyte - epidermal, donor1
11273	FF:11273-116H4	Mammary Epithelial Cell, donor1
11274	FF:11274-116H5	Melanocyte - light, donor1
11275	FF:11275-116H6	Neural stem cells, donor1
11276	FF:11276-116H7	Osteoblast - differentiated, donor1
11277	FF:11277-116H8	Osteoblast, donor1
11278	FF:11278-116H9	Placental Epithelial Cells, donor1
11279	FF:11279-116I1	Preadipocyte - subcutaneous, donor1
11280	FF:11280-116I2	Preadipocyte - visceral, donor1
11281	FF:11281-116I3	Skeletal Muscle Cells, donor1
11282	FF:11282-116I4	Skeletal muscle cells differentiated into Myotubes - multinucleated, donor1
11283	FF:11283-116I5	Smooth Muscle Cells - Aortic, donor1
11284	FF:11284-116I6	Smooth Muscle Cells - Brachiocephalic, donor1
11285	FF:11285-116I7	Smooth Muscle Cells - Carotid, donor1
11286	FF:11286-116I8	Smooth Muscle Cells - Coronary Artery, donor1
11287	FF:11287-116I9	Smooth Muscle Cells - Internal Thoracic Artery, donor1
11288	FF:11288-117A1	Smooth Muscle Cells - Pulmonary Artery, donor1
11289	FF:11289-117A2	Smooth Muscle Cells - Subclavian Artery, donor1
11290	FF:11290-117A3	Smooth Muscle Cells - Umbilical Artery, donor1
11291	FF:11291-117A4	Synoviocyte, donor1
11292	FF:11292-117A5	Tracheal Epithelial Cells, donor1
11301	FF:11301-117B5	Sebocyte, donor2
11302	FF:11302-117B6	Gingival epithelial cells, donor2 (GEA14)
11303	FF:11303-117B7	Fibroblast - Gingival, donor5 (GFH3)
11304	FF:11304-117B8	Fibroblast - Periodontal Ligament, donor5 (PL30)
11305	FF:11305-117B9	CD14+ Monocytes, donor2
11306	FF:11306-117C1	CD4+ T Cells, donor2
11307	FF:11307-117C2	CD8+ T Cells, donor2
11308	FF:11308-117C3	Dendritic Cells - monocyte immature derived, donor2
11309	FF:11309-117C4	Dendritic Cells - plasmacytoid, donor2
11310	FF:11310-117C5	CD14+ monocyte derived endothelial progenitor cells, donor2
11311	FF:11311-117C6	Natural Killer Cells, donor2
11312	FF:11312-117C7	Peripheral Blood Mononuclear Cells, donor2
11313	FF:11313-117C8	Macrophage - monocyte derived, donor2
11314	FF:11314-117C9	Neutrophils, donor2
11315	FF:11315-117D1	Smooth Muscle Cells - Brain Vascular, donor2
11316	FF:11316-117D2	Astrocyte - cerebral cortex, donor2
11317	FF:11317-117D3	Endothelial Cells - Lymphatic, donor2
11318	FF:11318-117D4	Fibroblast - Gingival, donor2
11319	FF:11319-117D5	Fibroblast - Periodontal Ligament, donor2
11320	FF:11320-117D6	Smooth Muscle Cells - Colonic, donor2
11321	FF:11321-117D7	Skeletal Muscle Satellite Cells, donor2
11322	FF:11322-117D8	Myoblast, donor2
11323	FF:11323-117D9	Ciliary Epithelial Cells, donor2
11324	FF:11324-117E1	Endothelial Cells - Umbilical vein, donor2
11326	FF:11326-117E3	Fibroblast - Aortic Adventitial, donor2
11327	FF:11327-117E4	Adipocyte - breast, donor2
11328	FF:11328-117E5	Preadipocyte - breast, donor2
11329	FF:11329-117E6	Preadipocyte - omental, donor2
11331	FF:11331-117E8	Prostate Epithelial Cells, donor2
11332	FF:11332-117E9	Prostate Stromal Cells, donor2
11333	FF:11333-117F1	Sertoli Cells, donor2
11334	FF:11334-117F2	Small Airway Epithelial Cells, donor2
11335	FF:11335-117F3	Smooth Muscle Cells - Prostate, donor2
11336	FF:11336-117F4	Adipocyte - subcutaneous, donor2
11338	FF:11338-117F6	Chondrocyte - de diff, donor2
11339	FF:11339-117F7	Chondrocyte - re diff, donor2
11340	FF:11340-117F8	Endothelial Cells - Aortic, donor2
11341	FF:11341-117F9	Endothelial Cells - Artery, donor2
11342	FF:11342-117G1	Endothelial Cells - Microvascular, donor2
11343	FF:11343-117G2	Endothelial Cells - Thoracic, donor2
11344	FF:11344-117G3	Endothelial Cells - Vein, donor2
11345	FF:11345-117G4	Fibroblast - Cardiac, donor2
11346	FF:11346-117G5	Fibroblast - Dermal, donor2
11347	FF:11347-117G6	Fibroblast - Lung, donor2
11348	FF:11348-117G7	Hair Follicle Dermal Papilla Cells, donor2
11349	FF:11349-117G8	Keratinocyte - epidermal, donor2
11350	FF:11350-117G9	Mammary Epithelial Cell, donor2
11351	FF:11351-117H1	Melanocyte - light, donor2
11352	FF:11352-117H2	Neural stem cells, donor2
11353	FF:11353-117H3	Osteoblast - differentiated, donor2
11354	FF:11354-117H4	Osteoblast, donor2
11355	FF:11355-117H5	Placental Epithelial Cells, donor2
11356	FF:11356-117H6	Preadipocyte - subcutaneous, donor2
11357	FF:11357-117H7	Preadipocyte - visceral, donor2
11358	FF:11358-117H8	Skeletal Muscle Cells, donor2
11359	FF:11359-117H9	Skeletal muscle cells differentiated into Myotubes - multinucleated, donor2
11360	FF:11360-117I1	Smooth Muscle Cells - Aortic, donor2
11361	FF:11361-117I2	Smooth Muscle Cells - Brachiocephalic, donor2
11362	FF:11362-117I3	Smooth Muscle Cells - Carotid, donor2
11363	FF:11363-117I4	Smooth Muscle Cells - Coronary Artery, donor2
11364	FF:11364-117I5	Smooth Muscle Cells - Internal Thoracic Artery, donor2
11365	FF:11365-117I6	Smooth Muscle Cells - Pulmonary Artery, donor2
11366	FF:11366-117I7	Smooth Muscle Cells - Subclavian Artery, donor2
11367	FF:11367-117I8	Smooth Muscle Cells - Umbilical Artery, donor2
11368	FF:11368-117I9	Synoviocyte, donor2
11369	FF:11369-118A1	Tracheal Epithelial Cells, donor2
11376	FF:11376-118A8	Adipocyte - breast, donor1
11378	FF:11378-118B1	Sebocyte, donor3
11379	FF:11379-118B2	Gingival epithelial cells, donor3 (GEA15)
11380	FF:11380-118B3	Fibroblast - Periodontal Ligament, donor6 (PLH3)
11381	FF:11381-118B4	CD14+ Monocytes, donor3
11382	FF:11382-118B5	CD4+ T Cells, donor3
11383	FF:11383-118B6	CD8+ T Cells, donor3
11384	FF:11384-118B7	Dendritic Cells - monocyte immature derived, donor3
11385	FF:11385-118B8	Dendritic Cells - plasmacytoid, donor3
11386	FF:11386-118B9	CD14+ monocyte derived endothelial progenitor cells, donor3
11387	FF:11387-118C1	Natural Killer Cells, donor3
11388	FF:11388-118C2	Peripheral Blood Mononuclear Cells, donor3
11389	FF:11389-118C3	Macrophage - monocyte derived, donor3
11390	FF:11390-118C4	Neutrophils, donor3
11391	FF:11391-118C5	Smooth Muscle Cells - Brain Vascular, donor3
11392	FF:11392-118C6	Astrocyte - cerebral cortex, donor3
11393	FF:11393-118C7	Endothelial Cells - Lymphatic, donor3
11394	FF:11394-118C8	Fibroblast - Gingival, donor3
11395	FF:11395-118C9	Fibroblast - Periodontal Ligament, donor3
11396	FF:11396-118D1	Smooth Muscle Cells - Colonic, donor3
11397	FF:11397-118D2	Skeletal Muscle Satellite Cells, donor3
11398	FF:11398-118D3	Myoblast, donor3
11399	FF:11399-118D4	Ciliary Epithelial Cells, donor3
11400	FF:11400-118D5	Endothelial Cells - Umbilical vein, donor3
11401	FF:11401-118D6	Fibroblast - Aortic Adventitial, donor3
11402	FF:11402-118D7	Mesothelial Cells, donor3
11403	FF:11403-118D8	Preadipocyte - omental, donor3
11404	FF:11404-118D9	Prostate Epithelial Cells, donor3
11405	FF:11405-118E1	Prostate Stromal Cells, donor3
11406	FF:11406-118E2	Small Airway Epithelial Cells, donor3
11408	FF:11408-118E4	Adipocyte - subcutaneous, donor3
11409	FF:11409-118E5	Nucleus Pulposus Cell, donor2
11410	FF:11410-118E6	Chondrocyte - de diff, donor3
11411	FF:11411-118E7	Chondrocyte - re diff, donor3
11412	FF:11412-118E8	Endothelial Cells - Aortic, donor3
11413	FF:11413-118E9	Endothelial Cells - Artery, donor3
11414	FF:11414-118F1	Endothelial Cells - Microvascular, donor3
11416	FF:11416-118F3	Endothelial Cells - Vein, donor3
11417	FF:11417-118F4	Fibroblast - Cardiac, donor3
11418	FF:11418-118F5	Fibroblast - Dermal, donor3
11419	FF:11419-118F6	Fibroblast - Lung, donor3
11420	FF:11420-118F7	Hair Follicle Dermal Papilla Cells, donor3
11421	FF:11421-118F8	Keratinocyte - epidermal, donor3
11422	FF:11422-118F9	Mammary Epithelial Cell, donor3
11423	FF:11423-118G1	Melanocyte - light, donor3
11425	FF:11425-118G3	Osteoblast - differentiated, donor3
11426	FF:11426-118G4	Osteoblast, donor3
11427	FF:11427-118G5	Placental Epithelial Cells, donor3
11428	FF:11428-118G6	Preadipocyte - subcutaneous, donor3
11429	FF:11429-118G7	Preadipocyte - visceral, donor3
11430	FF:11430-118G8	Skeletal Muscle Cells, donor3
11431	FF:11431-118G9	Skeletal muscle cells differentiated into Myotubes - multinucleated, donor3
11432	FF:11432-118H1	Smooth Muscle Cells - Aortic, donor3
11433	FF:11433-118H2	Smooth Muscle Cells - Brachiocephalic, donor3
11434	FF:11434-118H3	Smooth Muscle Cells - Carotid, donor3
11435	FF:11435-118H4	Smooth Muscle Cells - Coronary Artery, donor3
11436	FF:11436-118H5	Smooth Muscle Cells - Internal Thoracic Artery, donor3
11437	FF:11437-118H6	Smooth Muscle Cells - Pulmonary Artery, donor3
11438	FF:11438-118H7	Smooth Muscle Cells - Subclavian Artery, donor3
11439	FF:11439-118H8	Smooth Muscle Cells - Umbilical Artery, donor3
11440	FF:11440-118H9	Synoviocyte, donor3
11441	FF:11441-118I1	Tracheal Epithelial Cells, donor3
11450	FF:11450-119A1	Fibroblast - Dermal, donor4
11451	FF:11451-119A2	Skeletal Muscle Cells, donor4
11452	FF:11452-119A3	Fibroblast - Cardiac, donor4
11453	FF:11453-119A4	Bronchial Epithelial Cell, donor4
11454	FF:11454-119A5	Fibroblast - Dermal, donor5
11455	FF:11455-119A6	Skeletal Muscle Cells, donor5
11456	FF:11456-119A7	Fibroblast - Cardiac, donor5
11457	FF:11457-119A8	Bronchial Epithelial Cell, donor5
11458	FF:11458-119A9	Fibroblast - Dermal, donor6
11459	FF:11459-119B1	Skeletal Muscle Cells, donor6
11460	FF:11460-119B2	Fibroblast - Cardiac, donor6
11461	FF:11461-119B3	Bronchial Epithelial Cell, donor6
11462	FF:11462-119B4	Nucleus Pulposus Cell, donor3
11463	FF:11463-119B5	Anulus Pulposus Cell, donor2
11464	FF:11464-119B6	Mesenchymal Stem Cells - bone marrow, donor4
11465	FF:11465-119B7	Smooth Muscle Cells - Prostate, donor3
11466	FF:11466-119B8	Smooth Muscle Cells - Uterine, donor3
11467	FF:11467-119B9	Preadipocyte - breast, donor1
11468	FF:11468-119C1	Preadipocyte - omental, donor1
11469	FF:11469-119C2	Preadipocyte - perirenal, donor1
11473	FF:11473-119C6	Adipocyte - omental, donor1
11474	FF:11474-119C7	Adipocyte - omental, donor2
11475	FF:11475-119C8	Adipocyte - omental, donor3
11476	FF:11476-119C9	Adipocyte - perirenal, donor1
11487	FF:11487-119E2	Mast cell - stimulated, donor1
11491	FF:11491-119E6	Pericytes, donor1
11492	FF:11492-119E7	Fibroblast - Choroid Plexus, donor1
11493	FF:11493-119E8	Meningeal Cells, donor1
11494	FF:11494-119E9	Neurons, donor1
11496	FF:11496-119F2	Oligodendrocyte - precursors, donor1
11498	FF:11498-119F4	Schwann Cells, donor1
11499	FF:11499-119F5	Perineurial Cells, donor1
11500	FF:11500-119F6	Astrocyte - cerebellum, donor1
11502	FF:11502-119F8	Melanocyte - dark, donor1
11504	FF:11504-119G1	Hair Follicle Outer Root Sheath Cells, donor1
11506	FF:11506-119G3	Fibroblast - Lymphatic, donor1
11507	FF:11507-119G4	Esophageal Epithelial Cells, donor1
11508	FF:11508-119G5	Smooth Muscle Cells - Esophageal, donor1
11509	FF:11509-119G6	Smooth Muscle Cells - Intestinal, donor1
11510	FF:11510-119G7	Alveolar Epithelial Cells, donor1
11511	FF:11511-119G8	Bronchial Epithelial Cell, donor1
11512	FF:11512-119G9	Smooth Muscle Cells - Bronchial, donor1
11513	FF:11513-119H1	Smooth Muscle Cells - Tracheal, donor1
11514	FF:11514-119H2	Renal Glomerular Endothelial Cells, donor1
11515	FF:11515-119H3	Renal Proximal Tubular Epithelial Cell, donor1
11516	FF:11516-119H4	Renal Cortical Epithelial Cells, donor1
11517	FF:11517-119H5	Renal Epithelial Cells, donor1
11518	FF:11518-119H6	Renal Mesangial Cells, donor1
11519	FF:11519-119H7	Smooth Muscle Cells - Bladder, donor1
11520	FF:11520-119H8	Urothelial Cells, donor1
11521	FF:11521-119H9	Hepatic Sinusoidal Endothelial Cells, donor1
11523	FF:11523-119I2	Hepatocyte, donor1
11524	FF:11524-119I3	Hepatic Stellate Cells (lipocyte), donor1
11525	FF:11525-119I4	Cardiac Myocyte, donor1
11526	FF:11526-119I5	Corneal Epithelial Cells, donor1
11527	FF:11527-119I6	Keratocytes, donor1
11528	FF:11528-119I7	Retinal Pigment Epithelial Cells, donor1
11529	FF:11529-119I8	Lens Epithelial Cells, donor1
11530	FF:11530-119I9	Iris Pigment Epithelial Cells, donor1
11531	FF:11531-120A1	Fibroblast - Conjunctival, donor1
11532	FF:11532-120A2	Trabecular Meshwork Cells, donor1
11533	FF:11533-120A3	Amniotic Epithelial Cells, donor1
11535	FF:11535-120A5	Fibroblast - Villous Mesenchymal, donor1
11536	FF:11536-120A6	Mesenchymal Stem Cells - bone marrow, donor1
11537	FF:11537-120A7	Mesenchymal Stem Cells - adipose, donor1
11538	FF:11538-120A8	Mesenchymal Stem Cells - hepatic, donor1
11539	FF:11539-120A9	Mesenchymal Stem Cells - umbilical, donor1
11540	FF:11540-120B1	Fibroblast - Mammary, donor1
11541	FF:11541-120B2	Smooth Muscle Cells - Umbilical Vein, donor1
11544	FF:11544-120B5	CD19+ B Cells, donor1
11545	FF:11545-120B6	CD34+ Progenitors, donor1
11547	FF:11547-120B8	Mesenchymal Stem Cells - amniotic membrane, donor1
11548	FF:11548-120B9	Mesenchymal Stem Cells - Wharton's Jelly, donor1
11549	FF:11549-120C1	Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor1
11553	FF:11553-120C5	Fibroblast - skin normal, donor1
11554	FF:11554-120C6	Fibroblast - skin walker warburg, donor1
11555	FF:11555-120C7	Fibroblast - skin spinal muscular atrophy, donor1
11556	FF:11556-120C8	Fibroblast - skin dystrophia myotonica, donor1
11557	FF:11557-120C9	Fibroblast - skin dystrophia myotonica, donor2
11558	FF:11558-120D1	Fibroblast - skin spinal muscular atrophy, donor2
11559	FF:11559-120D2	Fibroblast - skin spinal muscular atrophy, donor3
11560	FF:11560-120D3	Fibroblast - skin dystrophia myotonica, donor3
11561	FF:11561-120D4	Fibroblast - skin normal, donor2
11563	FF:11563-120D6	Mast cell, donor1
11565	FF:11565-120D8	Mast cell, donor2
11566	FF:11566-120D9	Mast cell, donor3
11567	FF:11567-120E1	Mast cell, donor4
11571	FF:11571-120E5	Pericytes, donor2
11572	FF:11572-120E6	Fibroblast - Choroid Plexus, donor2
11573	FF:11573-120E7	Meningeal Cells, donor2
11574	FF:11574-120E8	Neurons, donor2
11578	FF:11578-120F3	Schwann Cells, donor2
11579	FF:11579-120F4	Perineurial Cells, donor2
11580	FF:11580-120F5	Astrocyte - cerebellum, donor2
11582	FF:11582-120F7	Melanocyte - dark, donor2
11584	FF:11584-120F9	Hair Follicle Outer Root Sheath Cells, donor2
11586	FF:11586-120G2	Fibroblast - Lymphatic, donor2
11587	FF:11587-120G3	Esophageal Epithelial Cells, donor2
11588	FF:11588-120G4	Smooth Muscle Cells - Esophageal, donor2
11590	FF:11590-120G6	Alveolar Epithelial Cells, donor2
11591	FF:11591-120G7	Bronchial Epithelial Cell, donor2
11592	FF:11592-120G8	Smooth Muscle Cells - Bronchial, donor2
11593	FF:11593-120G9	Smooth Muscle Cells - Tracheal, donor2
11594	FF:11594-120H1	Renal Glomerular Endothelial Cells, donor2
11595	FF:11595-120H2	Renal Proximal Tubular Epithelial Cell, donor2
11596	FF:11596-120H3	Renal Cortical Epithelial Cells, donor2
11597	FF:11597-120H4	Renal Epithelial Cells, donor2
11598	FF:11598-120H5	Renal Mesangial Cells, donor2
11600	FF:11600-120H7	Urothelial Cells, donor2
11601	FF:11601-120H8	Hepatic Sinusoidal Endothelial Cells, donor2
11603	FF:11603-120I1	Hepatocyte, donor2
11604	FF:11604-120I2	Hepatic Stellate Cells (lipocyte), donor2
11605	FF:11605-120I3	Cardiac Myocyte, donor2
11606	FF:11606-120I4	Corneal Epithelial Cells, donor2
11607	FF:11607-120I5	Keratocytes, donor2
11608	FF:11608-120I6	Retinal Pigment Epithelial Cells, donor2
11609	FF:11609-120I7	Lens Epithelial Cells, donor2
11612	FF:11612-122A1	Trabecular Meshwork Cells, donor2
11613	FF:11613-122A2	Amniotic Epithelial Cells, donor2
11615	FF:11615-122A4	Fibroblast - Villous Mesenchymal, donor2
11616	FF:11616-122A5	Mesenchymal Stem Cells - bone marrow, donor2
11617	FF:11617-122A6	Mesenchymal Stem Cells - adipose, donor2
11618	FF:11618-122A7	Mesenchymal Stem Cells - hepatic, donor2
11619	FF:11619-122A8	Mesenchymal Stem Cells - umbilical, donor2
11620	FF:11620-122A9	Fibroblast - Mammary, donor2
11621	FF:11621-122B1	Smooth Muscle Cells - Umbilical Vein, donor2
11624	FF:11624-122B4	CD19+ B Cells, donor2
11625	FF:11625-122B5	CD34+ Progenitors, donor2
11627	FF:11627-122B7	Mesenchymal Stem Cells - amniotic membrane, donor2
11629	FF:11629-122B9	Multipotent Cord Blood Unrestricted Somatic Stem Cells, donor2
11652	FF:11652-122E5	Pericytes, donor3
11653	FF:11653-122E6	Fibroblast - Choroid Plexus, donor3
11654	FF:11654-122E7	Meningeal Cells, donor3
11655	FF:11655-122E8	Neurons, donor3
11659	FF:11659-122F3	Schwann Cells, donor3
11661	FF:11661-122F5	Astrocyte - cerebellum, donor3
11663	FF:11663-122F7	Melanocyte - dark, donor3
11667	FF:11667-122G2	Fibroblast - Lymphatic, donor3
11668	FF:11668-122G3	Esophageal Epithelial Cells, donor3
11671	FF:11671-122G6	Alveolar Epithelial Cells, donor3
11672	FF:11672-122G7	Bronchial Epithelial Cell, donor3
11674	FF:11674-122G9	Smooth Muscle Cells - Tracheal, donor3
11675	FF:11675-122H1	Renal Glomerular Endothelial Cells, donor3
11676	FF:11676-122H2	Renal Proximal Tubular Epithelial Cell, donor3
11678	FF:11678-122H4	Renal Epithelial Cells, donor3
11679	FF:11679-122H5	Renal Mesangial Cells, donor3
11681	FF:11681-122H7	Urothelial Cells, donor3
11682	FF:11682-122H8	Hepatic Sinusoidal Endothelial Cells, donor3
11684	FF:11684-122I1	Hepatocyte, donor3
11685	FF:11685-122I2	Hepatic Stellate Cells (lipocyte), donor3
11686	FF:11686-122I3	Cardiac Myocyte, donor3
11687	FF:11687-122I4	Corneal Epithelial Cells, donor3
11688	FF:11688-122I5	Keratocytes, donor3
11689	FF:11689-122I6	Retinal Pigment Epithelial Cells, donor3
11690	FF:11690-122I7	Lens Epithelial Cells, donor3
11692	FF:11692-122I9	Fibroblast - Conjunctival, donor3
11693	FF:11693-123A1	Trabecular Meshwork Cells, donor3
11694	FF:11694-123A2	Amniotic Epithelial Cells, donor3
11696	FF:11696-123A4	Fibroblast - Villous Mesenchymal, donor3
11697	FF:11697-123A5	Mesenchymal Stem Cells - bone marrow, donor3
11698	FF:11698-123A6	Mesenchymal Stem Cells - adipose, donor3
11700	FF:11700-123A8	Mesenchymal Stem Cells - umbilical, donor3
11701	FF:11701-123A9	Fibroblast - Mammary, donor3
11702	FF:11702-123B1	Smooth Muscle Cells - Umbilical Vein, donor3
11705	FF:11705-123B4	CD19+ B Cells, donor3
11747	FF:11747-123G1	mesenchymal precursor cell - adipose, donor1
11748	FF:11748-123G2	mesenchymal precursor cell - adipose, donor2
11749	FF:11749-123G3	mesenchymal precursor cell - adipose, donor3
11750	FF:11750-123G4	mesenchymal precursor cell - bone marrow, donor1
11751	FF:11751-123G5	mesenchymal precursor cell - bone marrow, donor2
11752	FF:11752-123G6	mesenchymal precursor cell - cardiac, donor1
11753	FF:11753-123G7	mesenchymal precursor cell - cardiac, donor2
11754	FF:11754-123G8	mesenchymal precursor cell - cardiac, donor3
11755	FF:11755-123G9	mesenchymal precursor cell - cardiac, donor4
11756	FF:11756-123H1	mesenchymal precursor cell - ovarian cancer left ovary, donor1
11757	FF:11757-123H2	mesenchymal precursor cell - ovarian cancer right ovary, donor1
11758	FF:11758-123H3	mesenchymal precursor cell - ovarian cancer metastasis, donor1
11759	FF:11759-123H4	mesenchymal precursor cell - ovarian cancer right ovary, donor2
11760	FF:11760-123H5	mesenchymal precursor cell - ovarian cancer left ovary, donor3
11761	FF:11761-123H6	mesenchymal precursor cell - ovarian cancer right ovary, donor3 (SOC-57-02)
11762	FF:11762-123H7	mesenchymal precursor cell - ovarian cancer metastasis, donor3
11763	FF:11763-123H8	tenocyte, donor1
11765	FF:11765-123I1	tenocyte, donor2
11768	FF:11768-123I4	tenocyte, donor3
11769	FF:11769-123I5	Bronchial Epithelial Cell, donor7
11771	FF:11771-123I7	salivary acinar cells, donor1
11772	FF:11772-123I8	salivary acinar cells, donor2
11773	FF:11773-123I9	salivary acinar cells, donor3
11780	FF:11780-124A7	CD4+CD25+CD45RA+ naive regulatory T cells, donor1
11782	FF:11782-124A9	CD4+CD25+CD45RA- memory regulatory T cells, donor1
11783	FF:11783-124B1	Renal Glomerular Endothelial Cells, donor4
11784	FF:11784-124B2	CD4+CD25-CD45RA+ naive conventional T cells, donor1
11786	FF:11786-124B4	CD4+CD25-CD45RA- memory conventional T cells, donor1
11788	FF:11788-124B6	CD14+CD16- Monocytes, donor1
11789	FF:11789-124B7	CD14+CD16+ Monocytes, donor1
11790	FF:11790-124B8	CD14-CD16+ Monocytes, donor1
11791	FF:11791-124B9	CD4+CD25-CD45RA+ naive conventional T cells expanded, donor1
11792	FF:11792-124C1	CD4+CD25-CD45RA- memory conventional T cells expanded, donor1
11793	FF:11793-124C2	CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor1
11794	FF:11794-124C3	CD4+CD25+CD45RA- memory regulatory T cells expanded, donor1
11795	FF:11795-124C4	CD4+CD25-CD45RA+ naive conventional T cells, donor2
11796	FF:11796-124C5	CD4+CD25+CD45RA+ naive regulatory T cells, donor2
11797	FF:11797-124C6	CD4+CD25+CD45RA- memory regulatory T cells, donor2
11798	FF:11798-124C7	CD4+CD25-CD45RA- memory conventional T cells, donor2
11799	FF:11799-124C8	CD14+CD16- Monocytes, donor2
11800	FF:11800-124C9	CD14-CD16+ Monocytes, donor2
11801	FF:11801-124D1	CD14+CD16+ Monocytes, donor2
11833	FF:11833-124G6	mesenchymal precursor cell - ovarian cancer left ovary, donor2
11835	FF:11835-124G8	mesenchymal precursor cell - ovarian cancer metastasis, donor2
11836	FF:11836-124G9	mesenchymal precursor cell - ovarian cancer left ovary, donor4
11837	FF:11837-124H1	mesenchymal precursor cell - ovarian cancer right ovary, donor4
11838	FF:11838-124H2	mesenchymal precursor cell - ovarian cancer metastasis, donor4
11840	FF:11840-124H4	mesenchymal precursor cell - bone marrow, donor3
11841	FF:11841-124H5	serous adenocarcinoma cell line:SK-OV-3-R, biol_rep1
11842	FF:11842-124H6	mesenchymal precursor cell - ovarian cancer right ovary, donor3 (SOC-57-02-G)
11843	FF:11843-124H7	serous adenocarcinoma cell line:SK-OV-3-R after co-culture with SOC-57-02-G, biol_rep1
11860	FF:11860-125A6	CD14+ monocytes - treated with BCG, donor1
11861	FF:11861-125A7	CD14+ monocytes - treated with IFN + N-hexane, donor1
11862	FF:11862-125A8	CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor1
11863	FF:11863-125A9	CD14+ monocytes - mock treated, donor1
11864	FF:11864-125B1	CD14+ monocytes - treated with Group A streptococci, donor1
11865	FF:11865-125B2	CD14+ monocytes - treated with lipopolysaccharide, donor1
11866	FF:11866-125B3	CD14+ monocytes - treated with Salmonella, donor1
11867	FF:11867-125B4	CD14+ monocytes - treated with Cryptococcus, donor1
11868	FF:11868-125B5	CD14+ monocytes - treated with Candida, donor1
11869	FF:11869-125B6	CD14+ monocytes - treated with B-glucan, donor1
11870	FF:11870-125B7	CD14+ monocytes - treated with BCG, donor2
11871	FF:11871-125B8	CD14+ monocytes - treated with IFN + N-hexane, donor2
11872	FF:11872-125B9	CD14+ monocytes - treated with Trehalose dimycolate (TDM), donor2
11873	FF:11873-125C1	CD14+ monocytes - mock treated, donor2
11874	FF:11874-125C2	CD14+ monocytes - treated with Group A streptococci, donor2
11875	FF:11875-125C3	CD14+ monocytes - treated with lipopolysaccharide, donor2
11876	FF:11876-125C4	CD14+ monocytes - treated with Salmonella, donor2
11877	FF:11877-125C5	CD14+ monocytes - treated with Cryptococcus, donor2
11878	FF:11878-125C6	CD14+ monocytes - treated with Candida, donor2
11879	FF:11879-125C7	CD14+ monocytes - treated with B-glucan, donor2
11880	FF:11880-125C8	CD14+ monocytes - treated with BCG, donor3
11881	FF:11881-125C9	CD14+ monocytes - treated with IFN + N-hexane, donor3
